#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Aaron Judge,NYY,149,645,545,155,25,1,43,104,106,88,167,6,10,4,13.70%,25.90%,0.282,0.33,0.284,0.387,0.566,0.953,0.403,165,3.3,2.93,-0.56,1.14
2,Juan Soto,SDP,152,665,522,147,27,2,30,106,89,134,96,4,9,4,20.20%,14.50%,0.233,0.293,0.281,0.429,0.514,0.943,0.407,168,10.8,3.12,-0.41,0.82
3,Mike Trout,LAA,139,603,511,136,27,3,40,97,94,79,163,9,3,1,13.10%,27.00%,0.296,0.309,0.266,0.372,0.562,0.934,0.395,160,20.1,2.16,-0.97,1.39
4,José Ramírez,CLE,151,651,570,156,36,4,30,96,103,69,85,6,23,7,10.50%,13.10%,0.236,0.272,0.273,0.354,0.509,0.863,0.366,141,3.7,3.48,0.13,0.54
5,Julio Rodríguez,SEA,146,634,569,158,30,3,29,93,82,52,153,9,28,8,8.20%,24.20%,0.217,0.331,0.278,0.346,0.494,0.84,0.361,143,4,2.37,-2.39,0.72
6,Mookie Betts,LAD,145,642,561,153,34,3,30,108,84,66,104,8,14,4,10.40%,16.20%,0.233,0.284,0.272,0.354,0.505,0.86,0.37,142,11.1,1.47,0.19,0.72
7,Yordan Alvarez,HOU,138,586,505,147,30,2,36,92,101,70,123,6,1,1,12.00%,20.90%,0.281,0.316,0.291,0.381,0.572,0.953,0.404,168,12.5,2.33,-1.06,1.43
8,Freddie Freeman,LAD,155,675,583,177,36,2,25,107,93,81,101,6,10,3,12.00%,14.90%,0.199,0.33,0.304,0.392,0.503,0.895,0.385,152,14.3,2.75,0.47,1.2
9,Trea Turner,PHI,152,665,609,178,34,4,22,102,81,45,116,5,30,6,6.80%,17.50%,0.179,0.329,0.293,0.344,0.472,0.816,0.353,127,2.4,3.01,0.72,1.14
10,Corey Seager,TEX,142,618,547,155,31,2,28,85,84,59,98,7,2,0,9.50%,15.90%,0.218,0.297,0.283,0.356,0.5,0.857,0.368,143,58.1,2.62,-0.39,1
