"Rank","Player","Team","Positions","Overall","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Ronald Acuna Jr.","ATL","RF,DH","1","1","7","2.5","1.1","4.0","+3.0"
"2","Trea Turner","PHI","SS","2","1","7","2.8","1.4","2.0","-"
"3","Aaron Judge","NYY","CF,RF,DH","3","1","6","2.8","1.8","1.0","-2.0"
"4","Jose Ramirez","CLE","3B,DH","4","1","16","4.1","1.7","3.0","-1.0"
"5","Julio Rodriguez","SEA","CF","5","1","14","4.7","1.8","5.0","-"
"6","Kyle Tucker","HOU","RF","6","4","19","7.0","1.8","7.0","+1.0"
"7","Juan Soto","SD","RF","7","3","12","7.8","1.4","6.0","-1.0"
"8","Vladimir Guerrero Jr.","TOR","1B,DH","8","1","16","9.2","2.5","13.0","+5.0"
"9","Yordan Alvarez","HOU","LF,DH","9","4","15","9.7","1.7","10.0","+1.0"
"10","Mookie Betts","LAD","2B,RF","10","5","16","9.8","2.0","9.0","-1.0"
