"Rank","Player","Team","Positions","Overall","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Corbin Burnes","MIL","SP","13","1","8","1.9","0.6","12.0","-1.0"
"2","Gerrit Cole","NYY","SP","17","1","6","2.6","0.8","15.0","-2.0"
"3","Shohei Ohtani","LAA","SP,DH","12","1","10","2.4","2.5","8.0","-4.0"
"4","Aaron Nola","PHI","SP","25","3","14","6.7","2.1","28.0","+3.0"
"5","Spencer Strider","ATL","SP,RP","26","3","24","6.7","2.5","32.0","+6.0"
"6","Sandy Alcantara","MIA","SP","24","2","21","6.8","4.3","24.0","-"
"7","Jacob deGrom","TEX","SP","28","2","32","8.3","4.8","29.0","+1.0"
"8","Brandon Woodruff","MIL","SP","30","4","17","8.8","2.6","38.0","+8.0"
"9","Justin Verlander","NYM","SP","32","4","18","9.3","3.0","34.0","+2.0"
"10","Max Scherzer","NYM","SP","31","4","17","9.4","3.2","36.0","+5.0"
