#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
1,Corbin Burnes,MIL,31,31,191,13,8,16,0,0,149,65,19,233,51,11,2.43,4.53,0.92,0.213,1.05,0.289,75.00%,3.06,2.94,14.8,4.82,-0.81,1.35
2,Shohei Ohtani,LAA,29,29,167,13,8,14,0,0,132,58,16,208,50,11.19,2.72,4.12,0.85,0.214,1.09,0.296,74.60%,3.12,2.88,9.1,2.41,-0.29,1.07
3,Aaron Nola,PHI,31,31,194,13,10,15,0,0,167,76,23,217,40,10.07,1.85,5.43,1.05,0.229,1.07,0.294,71.30%,3.5,3.15,32.3,2.55,-0.64,1.21
4,Jacob deGrom,TEX,24,24,140,10,6,13,0,0,103,45,14,188,31,12.09,1.97,6.15,0.88,0.204,0.96,0.294,73.70%,2.92,2.44,33.3,5.35,-0.26,1.54
5,Spencer Strider,ATL,29,29,159,13,7,12,0,0,118,55,15,216,55,12.25,3.1,3.95,0.86,0.203,1.09,0.296,74.10%,3.14,2.79,27.2,3.71,-0.31,1.07
6,Max Scherzer,NYM,27,27,165,12,7,14,0,0,133,57,20,199,35,10.87,1.93,5.62,1.11,0.218,1.02,0.288,76.20%,3.1,3.08,44.6,1.83,0.29,1.28
7,Gerrit Cole,NYY,31,31,194,15,8,17,0,0,154,70,27,243,48,11.28,2.24,5.03,1.25,0.215,1.04,0.286,76.40%,3.27,3.23,15.7,2.34,-1.82,1.37
8,Zack Wheeler,PHI,29,30,181,13,9,15,0,0,161,68,18,183,43,9.07,2.14,4.24,0.89,0.234,1.12,0.294,72.70%,3.38,3.22,55,1.88,2.23,0.86
9,Shane McClanahan,TBR,29,29,172,12,8,14,0,0,141,60,17,195,47,10.18,2.44,4.17,0.86,0.221,1.09,0.291,74.50%,3.13,2.99,42.7,3.37,-0.82,1.04
10,Sandy Alcantara,MIA,30,30,201,12,10,17,0,0,177,73,19,188,50,8.42,2.23,3.78,0.83,0.233,1.13,0.286,73.30%,3.28,3.32,30.8,4.39,0.32,0.92
