"Rank","Player","Team","Positions","Overall","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Jacob deGrom","NYM","SP","6","1","3","1.1","0.3","6.0","-"
"2","Gerrit Cole","NYY","SP","8","1","5","2.1","0.4","7.0","-1.0"
"3","Shane Bieber","CLE","SP","11","1","4","2.9","0.4","9.0","-2.0"
"4","Trevor Bauer","LAD","SP","18","2","13","5.4","1.7","14.0","-4.0"
"5","Yu Darvish","SD","SP","19","4","11","5.4","1.6","18.0","-1.0"
"6","Walker Buehler","LAD","SP","20","4","12","6.9","1.9","19.0","-1.0"
"7","Aaron Nola","PHI","SP","22","4","13","7.7","1.7","22.0","-"
"8","Lucas Giolito","CWS","SP","23","4","23","7.9","2.8","21.0","-2.0"
"9","Max Scherzer","WSH","SP","26","4","16","9.1","2.4","23.0","-3.0"
"10","Luis Castillo","CIN","SP","33","6","22","10.5","2.4","26.0","-7.0"
"11","Jack Flaherty","STL","SP","32","6","21","10.6","2.2","30.0","-2.0"
"12","Clayton Kershaw","LAD","SP","30","6","14","10.7","1.5","31.0","+1.0"
"13","Brandon Woodruff","MIL","SP","41","9","18","12.7","1.5","38.0","-3.0"
"14","Blake Snell","SD","SP","47","9","27","15.0","2.8","45.0","-2.0"
"15","Tyler Glasnow","TB","SP","52","10","42","17.0","3.5","53.0","+1.0"
"16","Kenta Maeda","MIN","SP,RP","54","13","26","17.5","2.3","49.0","-5.0"
"17","Zac Gallen","ARI","SP","55","8","47","17.9","7.1","46.0","-9.0"
"18","Lance Lynn","CWS","SP","58","15","31","18.8","2.4","54.0","-4.0"
"19","Josh Hader","MIL","RP","63","14","31","20.4","3.0","58.0","-5.0"
"20","Liam Hendriks","CWS","RP","64","14","28","20.9","2.8","59.0","-5.0"
"21","Corbin Burnes","MIL","SP,RP","70","14","46","21.7","4.2","62.0","-8.0"
"22","Stephen Strasburg","WSH","SP","69","8","31","22.0","4.3","63.0","-6.0"
"23","Sonny Gray","CIN","SP","78","16","68","26.1","8.1","73.0","-5.0"
"24","Aroldis Chapman","NYY","RP","76","16","39","26.1","3.5","69.0","-7.0"
